Player,Team,Position,DRS,INF GB Runs,GB Chances,DP Runs (Start),DP Runs (Pivot),IFFB Runs,Bunt Runs,OF Flyball Runs,FB Chances,OF Arm Runs,Framing Runs Saved,Pitches Framed,Blocking Runs,Stolen Base Runs,Pickoff Runs,Throwing Runs,Hometown,Age,Height,Weight,Class,Jersey,newestTeamName,newestTeamAbbrevName,newestTeamLocation,newestTeamLevel
Ryan McKay,Mount St. Mary's|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/mt-st-marys.svg,3B,0.10,0.10,1,0.00,-,-,-,-,0,-,-,,-,-,-,-,"Clinton Township, MI, US",0,"6' 0""",180,JR,19,Mount St. Mary's University,MSM,Mount St. Mary's,BBC
Liam Lierman,Washington|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/washington.svg,P,0.10,-,0,-,-,-,0.10,-,0,-,-,,-,-,-,-,"Eagle River, AK, US",0,"6' 1""",180,FR,15,University of Washington,WASH,Washington,BBC
Tyler Butina,Murray State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/murray-st.svg,C,0.10,0.06,1,0.00,-,-,-,-,0,-,0.04,1,-,-,-,-,"Jefferson, WI, US",0,"6' 2""",225,R-SO,34,Murray State University,MURR,Murray State,BBC
Caleb Koskie,Indiana|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/indiana.svg,RF,0.10,-,0,-,-,-,-,0.10,5,-,-,,-,-,-,-,"Excelsior, MN, US",21,"6' 0""",185,SO,17,"Indiana University, Bloomington",IND,Indiana,BBC
Christian Rasmussen,Hofstra|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/hofstra.svg,P,0.10,-,0,-,-,-,0.10,-,0,-,-,,-,-,-,-,"Fairfield, CT, US",0,"6' 3""",190,SO,16,Hofstra University,HOF,Hofstra,BBC
Andrew Grenert,Nevada|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/nevada.svg,3B,0.10,-0.25,2,-,-,-,0.35,-,0,-,-,,-,-,-,-,"Scottsdale, AZ, US",0,"6' 2""",175,JR,7,University of Nevada,NEV,Nevada,BBC
Justice de Jong,Auburn|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/auburn.svg,P,0.10,-,0,-,-,-,0.10,-,0,-,-,,-,-,-,-,"New York, NY, US",0,"6' 3""",220,FR,24,Auburn University,AUB,Auburn,BBC
Taylor Tomlin,Long Beach State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/long-beach-st.svg,CF,0.10,-,0,-,-,-,-,0.10,3,-,-,,-,-,-,-,"Edmond, OK, US",21,"5' 10""",175,JR,45,Long Beach State University,LBSU,Long Beach State,BBC
Jelle van der Lelie,Arkansas State|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arkansas-st.svg,P,0.10,0.07,3,-,-,-,0.03,-,0,-,-,,-,-,-,-,"Leiden, South Holland, NL",24,"6' 5""",210,GRAD,38,Arkansas State University,ARST,Arkansas State,BBC
Carson Hepworth,New Orleans|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/new-orleans.svg,RF,0.10,-,0,-,-,-,-,0.10,2,-,-,,-,-,-,-,"Gulf Breeze, FL, US",22,"6' 2""",195,SR,18,University of New Orleans,UNO,New Orleans,BBC
Ian Halverson,Saint Louis|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/saint-louis.svg,3B,0.10,0.10,5,0.00,-,-,-,-,0,-,-,,-,-,-,-,"Vista, CA, US",0,"5' 11""",175,SR,8,Saint Louis University,SLU,St. Louis,BBC
Wyatt Wiatrek,UTRGV|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/utrgv.svg,P,0.10,-,0,-,-,-,0.10,-,0,-,-,,-,-,-,-,"Sinton, TX, US",22,"6' 3""",190,SR,42,University of Texas Rio Grande Valley,UTRGV,UT Rio Grande Valley,BBC
Ethan Hubbell,Old Dominion|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/old-dominion.svg,P,0.10,0.10,1,-,-,-,-,-,0,-,-,,-,-,-,-,"Camas, WA, US",21,"6' 3""",230,SR,34,Old Dominion University,ODU,Old Dominion,BBC
Chase Nystrom,VCU|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/vcu.svg,P,0.10,0.10,1,-,-,-,-,-,0,-,-,,-,-,-,-,"Trinity, FL, US",0,"6' 1""",180,FR,22,Virginia Commonwealth University,VCU,VCU,BBC
Tyler Hemmesch,Minnesota|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/minnesota.svg,P,0.10,-,0,-,-,-,0.10,-,0,-,-,,-,-,-,-,"Sartell, MN, US",21,"6' 1""",195,JR,40,University of Minnesota,MINN,Minnesota,BBC
Lee Sowers,North Carolina|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/north-carolina.svg,2B,0.10,0.06,4,0.05,-0.02,-,-,-,0,-,-,,-,-,-,-,"Glen Allen, VA, US",20,"5' 10""",185,SO,3,University of North Carolina,UNC,North Carolina,BBC
Blake Cavill,Troy|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/troy.svg,3B,0.10,-0.10,1,-,-,-,0.20,-,0,-,-,,-,-,-,-,"Sydney, AU",24,"6' 1""",225,SR,34,Troy University,TROY,Troy,BBC
Joey Nerat,Iowa|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/iowa.svg,LF,0.10,-,0,-,-,-,-,-0.62,110,0.72,-,,-,-,-,-,"Campbellsport, WI, US",22,"5' 11""",204,SR,32,University of Iowa,IOWA,Iowa,BBC
Lucas Davenport,Baylor|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/baylor.svg,P,0.10,-0.15,3,-,-0.01,-,0.26,-,0,-,-,,-,-,-,-,"Prosper, TX, US",22,"6' 6""",231,R-JR,48,Baylor University,BAY,Baylor,BBC
Toby Hueber,George Mason|https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/george-mason.svg,3B,0.10,0.10,1,-,-,-,-,-,0,-,-,,-,-,-,-,"Cincinnati, OH, US",0,"5' 9""",175,JR,26,George Mason University,GMU,George Mason,BBC
