Rank,teamId,teamName,team,teamFullName,location,teamAbbrevName,teamLevel,synergyTeamId,newestTeamId,newestTeamLevel,newestTeamName,newestTeamAbbrevName,newestTeamLocation,Conf
1,542848267,Eagles,Avila College,Avila College,Avila College,AVIL,BBC,,542848267,BBC,Eagles,AVIL,Avila College,NAIA Kansas Collegiate
1,782776803,Coyotes,Kansas Wesleyan,Kansas Wesleyan,Kansas Wesleyan,KANS,BBC,,782776803,BBC,Coyotes,KANS,Kansas Wesleyan,NAIA Kansas Collegiate
1,607082430,Knights,Kentucky Christian,Kentucky Christian,Kentucky Christian,KENT,BBC,,607082430,BBC,Knights,KENT,Kentucky Christian,NAIA River States
1,640242176,Lawrence Technological,Lawrence Technological,Lawrence Technological University,Lawrence Technological,LTU,BBC,,640242176,BBC,Lawrence Technological,LTU,Lawrence Technological,NAIA Wolverine-Hoosier Athletic
1,767168632,Gray Wolves,Lourdes,Lourdes,Lourdes,LOUR,BBC,,767168632,BBC,Gray Wolves,LOUR,Lourdes,NAIA Wolverine-Hoosier Athletic
1,741086202,Toppers,Blue Mountain Christian,Blue Mountain Christian,Blue Mountain Christian,BMC,BBC,,741086202,BBC,Toppers,BMC,Blue Mountain Christian,NAIA Southern States
1,749662143,Warriors,Midland,Midland,Midland,MIDL,BBC,,749662143,BBC,Warriors,MIDL,Midland,NAIA Great Plains
1,630446080,Mid America Christian,Mid America Christian,Mid America Christian,Mid America Christian,MAC,BBC,,630446080,BBC,Mid America Christian,MAC,Mid America Christian,NAIA Sooner
1,636980098,Lions,Nelson,Nelson,Nelson,NELS,BBC,,636980098,BBC,Lions,NELS,Nelson,NAIA Sooner
1,778473946,Pioneers,MidAmerica Nazarene,MidAmerica Nazarene,MidAmerica Nazarene,MAN,BBC,,778473946,BBC,Pioneers,MAN,MidAmerica Nazarene,NAIA Heart of America
1,788559959,Pirates,Park,Park,Park,PARK,BBC,,788559959,BBC,Pirates,PARK,Park,NAIA Heart of America
1,686153980,Bears,Truett-McConnell,Truett-McConnell,Truett-McConnell,TMC,BBC,,686153980,BBC,Bears,TMC,Truett-McConnell,NAIA Appalachian
1,690397440,Milligan,Milligan,Milligan College,Milligan,MC,BBC,,690397440,BBC,Milligan,MC,Milligan,NAIA Appalachian
1,798470237,Wildcats,Baker,Baker,Baker,BAKE,BBC,,798470237,BBC,Wildcats,BAKE,Baker,NAIA Heart of America
1,733955370,Lions,Bryan,Bryan,Bryan,BRYA,BBC,,733955370,BBC,Lions,BRYA,Bryan,NAIA Appalachian
1,552271544,Mustangs,Morningside,Morningside,Morningside,MORN,BBC,,552271544,BBC,Mustangs,MORN,Morningside,NAIA Great Plains
1,632075529,Foresters,Huntington,Huntington,Huntington,HUNT,BBC,,632075529,BBC,Foresters,HUNT,Huntington,NAIA Crossroads League
1,691417610,Seahawks,Keiser,Keiser,Keiser,KEIS,BBC,,691417610,BBC,Seahawks,KEIS,Keiser,NAIA The Sun
1,713461040,Mighty Banyans,New College of Florida,New College of Florida,New College of Florida,NCF,BBC,,713461040,BBC,Mighty Banyans,NCF,New College of Florida,NAIA The Sun
1,555648733,Eagles,Oklahoma Wesleyan,Oklahoma Wesleyan,Oklahoma Wesleyan,OKLA,BBC,,555648733,BBC,Eagles,OKLA,Oklahoma Wesleyan,NAIA Kansas Collegiate
1,555904044,Braves,Ottawa,Ottawa,Ottawa,OTTA,BBC,,555904044,BBC,Braves,OTTA,Ottawa,NAIA Kansas Collegiate
1,753726227,Owls,Oregon Tech,Oregon Tech,Oregon Tech,OREG,BBC,,753726227,BBC,Owls,OREG,Oregon Tech,NAIA Cascade Collegiate
1,564257259,Rams,Columbia International,Columbia International,Columbia International,COLU,BBC,,564257259,BBC,Rams,COLU,Columbia International,NAIA Appalachian
1,690395648,Talladega,Talladega,Talladega College,Talladega,TC,BBC,,690395648,BBC,Talladega,TC,Talladega,NAIA HBCU Athletic Conference [formerly Gulf Coast]
1,704849688,Bobcats,College of the Ozarks,College of the Ozarks,College of the Ozarks,COLL,BBC,,704849688,BBC,Bobcats,COLL,College of the Ozarks,NAIA Sooner
1,803906560,Red Storm,Rio Grande,Rio Grande,Rio Grande,RIO,BBC,,803906560,BBC,Red Storm,RIO,Rio Grande,NAIA River States
1,539447317,Eagles,Southwestern Christian,Southwestern Christian,Southwestern Christian,SOUT,BBC,,539447317,BBC,Eagles,SOUT,Southwestern Christian,NAIA Sooner
1,556320668,Moundbuilders,Southwestern (KS),Southwestern (KS),Southwestern (KS),SKS,BBC,,556320668,BBC,Moundbuilders,SKS,Southwestern (KS),NAIA Kansas Collegiate
1,787883120,Swedes,Bethany College,Bethany College,Bethany College,BETH,BBC,,787883120,BBC,Swedes,BETH,Bethany College,NAIA Kansas Collegiate
1,568184576,St. Thomas (FL),St. Thomas (FL),St. Thomas (FL),St. Thomas (FL),STF,BBC,,568184576,BBC,St. Thomas (FL),STF,St. Thomas (FL),NAIA The Sun
1,805189376,Southeastern University Fire,Southeastern University Fire,Southeastern University Fire,Southeastern University Fire,SEU,BBC,,805189376,BBC,Southeastern University Fire,SEU,Southeastern University Fire,NAIA The Sun
1,779362375,Panthers,York,York,York,YORK,BBC,,779362375,BBC,Panthers,YORK,York,NAIA Kansas Collegiate
1,540214160,Warriors,Sterling,Sterling,Sterling,STER,BBC,,540214160,BBC,Warriors,STER,Sterling,NAIA Kansas Collegiate
1,707616822,Bulldogs,McPherson,McPherson,McPherson,MCPH,BBC,,707616822,BBC,Bulldogs,MCPH,McPherson,NAIA Kansas Collegiate
1,577863055,Valor,Evangel,Evangel,Evangel,EVAN,BBC,,577863055,BBC,Valor,EVAN,Evangel,NAIA Kansas Collegiate
1,648367311,Bluejays,Tabor,Tabor,Tabor,TABO,BBC,,648367311,BBC,Bluejays,TABO,Tabor,NAIA Kansas Collegiate
1,576195631,Knights,Marian (IN),Marian (IN),Marian (IN),MIN,BBC,,576195631,BBC,Knights,MIN,Marian (IN),NAIA Crossroads League
